,team,TOI,TOs,TIME_OF_POSS,TOUCHES,TOI_POSS,TOI_10_TOUCHES,TO_POSS,TO_10_TOUCHES
0,ATL,1246.0871002020529,1086,0.0,0,inf,inf,inf,inf
1,BKN,1220.5614889395417,1099,0.0,0,inf,inf,inf,inf
28,UTA,1252.9861069381157,1089,0.0,0,inf,inf,inf,inf
27,TOR,1180.2636924179074,1067,0.0,0,inf,inf,inf,inf
26,SAS,1085.617643074632,895,0.0,0,inf,inf,inf,inf
25,SAC,1206.3315522257753,1043,0.0,0,inf,inf,inf,inf
24,POR,1100.1872242782242,946,0.0,0,inf,inf,inf,inf
23,PHX,1179.4376430222019,1077,0.0,0,inf,inf,inf,inf
22,PHI,1238.856701722442,1037,0.0,0,inf,inf,inf,inf
21,ORL,997.8191977746546,937,0.0,0,inf,inf,inf,inf
20,OKC,1107.8055676834063,986,0.0,0,inf,inf,inf,inf
19,NYK,1085.5484822368396,946,0.0,0,inf,inf,inf,inf
18,NOP,1392.7985778014652,1181,0.0,0,inf,inf,inf,inf
17,MIN,1063.9671721253796,981,0.0,0,inf,inf,inf,inf
16,MIL,1326.0814730127152,1102,0.0,0,inf,inf,inf,inf
15,MIA,1275.1594108459842,1088,0.0,0,inf,inf,inf,inf
14,MEM,1256.9080499822016,1113,0.0,0,inf,inf,inf,inf
13,LAL,1267.13122768132,1077,0.0,0,inf,inf,inf,inf
12,LAC,1166.0182325537273,1051,0.0,0,inf,inf,inf,inf
11,IND,1142.6562385717982,967,0.0,0,inf,inf,inf,inf
10,HOU,1303.1053517023638,1057,0.0,0,inf,inf,inf,inf
9,GSW,1073.2593053764117,969,0.0,0,inf,inf,inf,inf
8,DET,1141.118556097992,1008,0.0,0,inf,inf,inf,inf
7,DEN,1121.5668201504361,1005,0.0,0,inf,inf,inf,inf
6,DAL,1146.7355777178084,953,0.0,0,inf,inf,inf,inf
5,CLE,1219.4638412691975,1073,0.0,0,inf,inf,inf,inf
4,CHI,1090.224497258166,1005,0.0,0,inf,inf,inf,inf
3,CHA,1030.7541635111309,949,0.0,0,inf,inf,inf,inf
2,BOS,1117.1733745443341,995,0.0,0,inf,inf,inf,inf
29,WAS,1150.0383570730448,1020,0.0,0,inf,inf,inf,inf
